Date,Open,High,Low,Close,Adj Close,Volume
2017-09-07,0.226382,0.227210,0.219618,0.223640,0.223640,103080000
2017-09-08,0.223615,0.224308,0.206103,0.211518,0.211518,151328992
2017-09-09,0.211293,0.211892,0.206395,0.209995,0.209995,51185500
2017-09-10,0.209606,0.216529,0.197605,0.213031,0.213031,117091000
2017-09-11,0.212513,0.220057,0.210353,0.214441,0.214441,138339008
2017-09-12,0.214860,0.220623,0.207608,0.209303,0.209303,94519504
2017-09-13,0.209630,0.209674,0.196179,0.200778,0.200778,105471000
2017-09-14,0.200427,0.202010,0.164167,0.164167,0.164167,152532992
2017-09-15,0.165035,0.189184,0.150973,0.181358,0.181358,289414016
2017-09-16,0.181925,0.187417,0.172279,0.179082,0.179082,84495200
2017-09-17,0.178377,0.181121,0.171017,0.178393,0.178393,49161100
2017-09-18,0.178309,0.190019,0.178309,0.189768,0.189768,88397904
2017-09-19,0.189819,0.190680,0.181334,0.184041,0.184041,54046100
2017-09-20,0.183710,0.186229,0.180333,0.182078,0.182078,34521600
2017-09-21,0.180981,0.182109,0.171148,0.171754,0.171754,43583200
2017-09-22,0.171567,0.175870,0.169291,0.173510,0.173510,37244700
2017-09-23,0.173371,0.178672,0.171527,0.177882,0.177882,32476700
2017-09-24,0.178175,0.178939,0.174165,0.175787,0.175787,20566500
2017-09-25,0.175519,0.183665,0.174939,0.181487,0.181487,35622600
2017-09-26,0.181968,0.191247,0.180085,0.186119,0.186119,70000704
2017-09-27,0.185297,0.207687,0.185098,0.203299,0.203299,249934000
2017-09-28,0.202532,0.203271,0.191344,0.196131,0.196131,117962000
2017-09-29,0.196105,0.196203,0.187172,0.193606,0.193606,72291200
2017-09-30,0.193824,0.199826,0.193497,0.197529,0.197529,54729300
2017-10-01,0.197622,0.207185,0.196170,0.206532,0.206532,51345500
2017-10-02,0.206077,0.206556,0.199444,0.202676,0.202676,77412304
2017-10-03,0.203209,0.204808,0.198730,0.203318,0.203318,48703100
2017-10-04,0.203218,0.217024,0.202647,0.214774,0.214774,123573000
2017-10-05,0.215583,0.241023,0.215583,0.237016,0.237016,404299008
2017-10-06,0.237726,0.242424,0.233533,0.234039,0.234039,167492000
2017-10-07,0.233963,0.239336,0.233478,0.238610,0.238610,77950200
2017-10-08,0.238312,0.279944,0.237532,0.279944,0.279944,529838016
2017-10-09,0.278758,0.278758,0.240430,0.251825,0.251825,610110016
2017-10-10,0.252825,0.266560,0.241193,0.260733,0.260733,384048992
